"","primer_nommbre","id","ID","id_publico","habilitado","borrado","cod_oficiona","estado_cotizacion","fecha_creacion_cotizacion"
"45","SET",27601,31295,"a1f069db0734a13767a039dbfb5f8d84543cb65152efa355130674924a4e86d6",TRUE,FALSE,"388","DESESTIMADA","2020-02-18T16:48:32.401-0500"
"46","JESUS",27600,31294,"aec3cf4770877619422e9b78b9fb0c05450a471fe718bcf5eeff2b4b61ad1d85",TRUE,FALSE,"388","FILTRADA","2020-02-18T16:47:18.221-0500"
"47","RICHARD",27599,31293,"080ed104e6e19ff4a86796666c6b72f1ca61b5993a849d144afd787d9c5b804c",TRUE,FALSE,"399","FILTRADA","2020-02-18T16:42:15.079-0500"
"48","DANIEL",27598,31292,"97ce80d6cedd94148d8cd00980bd5ef54177a3e9adc1fe0d5fea164884141d87",TRUE,FALSE,"388","FILTRADA","2020-02-18T16:41:18.990-0500"
"49","WASHINTON",27597,31291,"136a360565c41bf33ce4977aaf940d12290ebf2731f417861d7db8819aca7db0",TRUE,FALSE,"399","FILTRADA","2020-02-18T16:40:22.650-0500"
"50","JEFFERSON",27596,31290,"1deb658c1f57b53cdb15ea128a6ac584c0eb4bc73501ec341b57ad660f9ef305",TRUE,FALSE,"388","FILTRADA","2020-02-18T16:40:11.018-0500"
"51","PEDRO",27595,31289,"252fb650db329c211179c400e68931f03130e253dfcbe0464b125bc9a36da9c4",TRUE,FALSE,"497","FILTRADA","2020-02-18T16:34:40.318-0500"
"52","ROBERT",27594,31288,"7dfbf8eb12440e5ad79e63ea45eda684ff79f7886e712e5c550cb4b50ac2dede",TRUE,FALSE,"388","DESESTIMADA","2020-02-18T16:31:36.148-0500"
"53","JACINTA",27593,31287,"468f92d7125f21044f1b6cc2be9090670366cfb25758ab979a90523a5190befb",TRUE,FALSE,"560","INICIADA","2020-02-18T16:30:58.878-0500"
"54","ESTEBAN",27592,31286,"ddb7def9fe8a346d9f2c23e476e74e741148d95227b5c3173dc56a3adb505784",TRUE,FALSE,"399","FILTRADA","2020-02-18T16:30:08.803-0500"
"55","HILARIO",27591,31285,"04f500c45e9a3febe029776dae5701f0700a0ef0c53cc7549585ed2cc10a4c98",TRUE,FALSE,"389","FILTRADA","2020-02-18T16:25:45.481-0500"
"56","JULIO",27590,31284,"fed04fe09692e7c218ad6f6ad336c68a4335ab81626caab954e5860e8ede50e3",TRUE,FALSE,"388","FILTRADA","2020-02-18T16:22:58.578-0500"
"57","CESAR",27589,31283,"95ef5a4596b168d8fd8f7a2e68580159b12bc528a37fbefd6e20bff3e8ba0807",TRUE,FALSE,"386","FILTRADA","2020-02-18T16:19:50.465-0500"
"58","jianperre",27588,31282,"d8a8887c7f477830ab44ce45b36338dc70ce2fe6199c7b7a79f532de1700b3cb",TRUE,FALSE,"389","FILTRADA","2020-02-18T16:19:18.969-0500"
"59","YIYE",27587,31281,"8006a9243f1ee961a39e6a7629af50f33ce418bfeda701dfc45ab8dc449c9ea4",TRUE,FALSE,"389","FILTRADA","2020-02-18T16:13:41.509-0500"
"60","JULIO",27586,31280,"55ae6e4f26289800371b1e6db009dcbcc265a72929f3b1422065d70d60cb16eb",TRUE,FALSE,"388","FILTRADA","2020-02-18T16:12:16.453-0500"
"61","YNES",27585,31279,"307bcf989b8ec9c91b103e499d0d2c660f79612d40226b2937f7394290d4b2a5",TRUE,FALSE,"453","FILTRADA","2020-02-18T16:11:25.906-0500"
"62","GABRIEL",27584,31278,"e1ac4476739d23eb0c238d2836abafa928aef5bc657cab120d913ad55c49d310",TRUE,FALSE,"399","FILTRADA","2020-02-18T15:58:18.521-0500"
"63","TREISI",27583,31277,"c8f9348f9ff449b506507083c2ea548edfaa1cc91f1ee57514e2f718814f0e54",TRUE,FALSE,"578","INICIADA","2020-02-18T15:57:57.768-0500"
"64","EVER",27582,31276,"c5d838579f7856a5cc0290ca0cbe061abab7af0cf4a9f16dad2b8aa59e5733a1",TRUE,FALSE,"578","FILTRADA","2020-02-18T15:55:59.953-0500"
"65","KEVIN",27581,31275,"71559bb82661ccf7fe0d03719b4b015baaacc989c6ede9fe28a75a48b7618f7e",TRUE,FALSE,"494","FILTRADA","2020-02-18T15:52:05.259-0500"
"66","MARIA",27580,31274,"796cf509769083c68b0abbfa9735aac4ee6e42889f66557b75231fb7999b112f",TRUE,FALSE,"578","FILTRADA","2020-02-18T15:50:43.987-0500"
"67","RENZO",27579,31273,"c0d3f935d64cff775004e84be11c05fc41f141c6079b57dd8b6343797fd81283",TRUE,FALSE,"388","FILTRADA","2020-02-18T15:47:28.201-0500"
"68","JANETH",27578,31272,"0faa1cb5f82365f91c03f832b55d815cee05618d30943e185cce888753635899",TRUE,FALSE,"330","DESESTIMADA","2020-02-18T15:45:13.587-0500"
"69","JOSE",27577,31271,"d9403c18c746cb247d6e46d1033d849ef4941f5fa3ea210e313efda4b0d8ffa3",TRUE,FALSE,"578","FILTRADA","2020-02-18T15:45:04.300-0500"
"70","DELVIN",27576,31270,"60d3ea33ab394a108167366f1e06154201987077b5ac19922acd00beffa75de1",TRUE,FALSE,"330","DESESTIMADA","2020-02-18T15:44:10.759-0500"
"71","OSCAR",27575,31269,"0b8e8a7a01c8a8fa6f552b82bc54f119b6554e2f98759b8094a89ea8e398a949",TRUE,FALSE,"584","FILTRADA","2020-02-18T15:34:39.617-0500"
"72","ALEXANDRA",27574,31268,"9f733efc66847c5770f2e98221c93814337aece473b469b87d1cccddf2ca4c8e",TRUE,FALSE,"569","FILTRADA","2020-02-18T15:33:32.438-0500"
"73","MARIA",27573,31267,"28e8a2c40138687f767764956cfd92581af4f5123c74c2a384ea999947c7cd38",TRUE,FALSE,"578","FILTRADA","2020-02-18T15:29:41.245-0500"
"74","MARIA",27572,31266,"0a88e1698ba3f6e5a882e6f77f732db8c43eb57abe644d0f216d475389807443",TRUE,FALSE,"578","FILTRADA","2020-02-18T15:28:39.734-0500"
"75",NA,27571,31265,"c122938e4013323717ffd7d8acf82012d5e39becb5b9e87f22991fc909279991",TRUE,FALSE,"578","INICIADA","2020-02-18T15:27:54.948-0500"
"76","EVELYN",27570,31264,"34117dd3dc4609f96e303b012654961864d8ef027b641b24fd62c014d9b9edf0",TRUE,FALSE,"578","FILTRADA","2020-02-18T15:27:04.981-0500"
"77","ESTHER",27569,31263,"8fcb599aaadfa8e4e2783601933e6113e570bb767850326ee569fb6f604f8248",TRUE,FALSE,"453","FILTRADA","2020-02-18T15:25:15.621-0500"
"78","EDELMIRA",27568,31262,"12e926384b61de75417b0d8988961486fa1089f1ceb487c4e2456a821470a235",TRUE,FALSE,"386","FILTRADA","2020-02-18T15:24:46.248-0500"
"79","JOSE",27567,31261,"ad73b1b28bf7ece6ccc02a4362f089b3819136c38961f0d90dde46d9d45762e1",TRUE,FALSE,"386","FILTRADA","2020-02-18T15:22:29.109-0500"
"80","MAYCOL",27566,31260,"3b0b32625978f541d1edea09a3dedf62189db7da5a4b66a853dc30af76cdeda9",TRUE,FALSE,"418","FILTRADA","2020-02-18T15:18:20.586-0500"
"81","PERCY",27565,31259,"35092bd2971ca89d9a0feb43b19424af274eff292adff568ecd5f8a8ae145f9a",TRUE,FALSE,"453","DESESTIMADA","2020-02-18T15:17:26.035-0500"
"82","ALBERTO",27564,31258,"d5ae144e55f4e29a561c5ca7c313490b95904e30aa2bb2d70b8d787cbf3ef304",TRUE,FALSE,"418","INICIADA","2020-02-18T15:17:08.180-0500"
"83","BERTHA",27563,31257,"b34479cd73bd78914fdc870ceb60bb641e2708eca81ab032cb08470b6db9faf7",TRUE,FALSE,"578","DESESTIMADA","2020-02-18T15:14:59.939-0500"
"84","MARIO",27562,31256,"163a292302fd4b2398a21de4f819e20dbdb98f6b9d2af1d465f676115001203b",TRUE,FALSE,"517","FILTRADA","2020-02-18T15:12:37.857-0500"
"85","LEANDRO",27561,31255,"0aef49c434fa55a613071486b0efe09ba74c60c44369b44d87336862ab6d2d26",TRUE,FALSE,"388","FILTRADA","2020-02-18T15:09:21.770-0500"
"86","FREDDY",27560,31254,"0048a72ce9cbc44f4a049b1f190bdde90bfee747ed0b2677c2d8b5b4c806898e",TRUE,FALSE,"367","FILTRADA","2020-02-18T15:09:12.829-0500"
"87","CAROLINE",27559,31253,"9a85ae21bd57963ae544838897bdd59f0e18cf6c6169a72a06417113872ff029",TRUE,FALSE,"453","DESESTIMADA","2020-02-18T15:08:20.246-0500"
"88","CARLOS",27558,31252,"fc8508323b3005a139a8227bd4462d625810262bcc31a3dc68b3b9e9cbf0e929",TRUE,FALSE,"388","FILTRADA","2020-02-18T15:06:12.717-0500"
"89","MANUEL",27557,31251,"bfa4d3af4e4a3f2e45a1043be6d0f2a3f304f725ea7259ee96ace905bb7ef6a5",TRUE,FALSE,"398","FILTRADA","2020-02-18T15:05:41.195-0500"
"90","HILDA",27556,31250,"d6306387d4a7ade77691bf631c8dba9b41d424320a99bced75b7bcf11932d893",TRUE,FALSE,"398","INICIADA","2020-02-18T15:03:04.149-0500"
"91","WENDY",27555,31249,"b5a4b6a969723ea9dd55f9dfccd6efd4681482ba2413ed0a6d298bbc4ebc370f",TRUE,FALSE,"398","FILTRADA","2020-02-18T14:52:18.770-0500"
"92","jack",27554,31248,"2436cbedfdabe6efb8efa3576be05daeb4a072f9654ebe01e89d09aa73480f54",TRUE,FALSE,"452","DESESTIMADA","2020-02-18T14:47:25.444-0500"
"93","PERCY",27553,31247,"1375d5f9801968bb6c407a7226aede2b2ecd0c0ec438b838ccde739822e8bfad",TRUE,FALSE,"494","DESESTIMADA","2020-02-18T14:40:56.665-0500"
"94","LUIS",27552,31246,"4474ef298a009bb7e22825dc30dfc8bef9ba44e816f0c98ef82ad033843fbf7a",TRUE,FALSE,"560","FILTRADA","2020-02-18T14:40:42.279-0500"
"95","ELISA",27551,31245,"29a9e3be7784d26d6344e3987664359bc8e8a2db62de87d1c1da3c2fa8260b81",TRUE,FALSE,"497","DESESTIMADA","2020-02-18T14:40:38.533-0500"
"96","ALAN",27550,31244,"477cc4f82a5dcfdcf1f7f0d52d6842de1c1c855873ac7499c2897626e195d98f",TRUE,FALSE,"578","DESESTIMADA","2020-02-18T14:39:29.529-0500"
"97","JOSE",27549,31243,"82702eeda08fb96963bbbe2685157e5314bc36fca0598584c68c8abe40cd7645",TRUE,FALSE,"497","DESESTIMADA","2020-02-18T14:38:15.018-0500"
"98","JUAN",27548,31242,"e104dd6833e1586cc548d3783255f557c77cf42f5288f725c8b1155c777fefaf",TRUE,FALSE,"566","FILTRADA","2020-02-18T14:35:31.377-0500"
"99","DAMIAN",27547,31241,"9cccd6d60cf3d1e117e517ff17175e6a66cd14b624f2ae0cf2882ce8af720dd4",TRUE,FALSE,"330","DESESTIMADA","2020-02-18T14:31:17.108-0500"
"100","IVAN",27546,31240,"825cc6ac257aa0975e3d73f44d16db7b04b88ce094f7027f8d685a5343ef1bb2",TRUE,FALSE,"452","DESESTIMADA","2020-02-18T14:24:14.487-0500"
"101","ADRIAN",27545,31239,"0fb24206cacd97229d6f2b13c6967358e55d6088d8341987dbc6d9c691ed8213",TRUE,FALSE,"517","FILTRADA","2020-02-18T14:23:31.753-0500"
"102","JUANITA",27544,31238,"1db00d80a6ac5c82da7317fed21fc713be88124dcc92721f3b9399c2638c10f4",TRUE,FALSE,"330","DESESTIMADA","2020-02-18T14:19:22.000-0500"
"103","LUCILA",27543,31237,"c80810621b64380b56c0c8fecd2680e4ec7727a21baf9682db6ae770cc3be45f",TRUE,FALSE,"330","DESESTIMADA","2020-02-18T14:18:11.357-0500"
"104","LEYCEL",27542,31236,"4aa63699eac9a5742154abaee3b8242b01174ac7d3fd8a09517d715433d5c67a",TRUE,FALSE,"330","DESESTIMADA","2020-02-18T14:17:31.601-0500"
"105","JOSE",27541,31235,"6ea2227ae7dde689ac776f284e54a491f268fa2806f20f43e543cb56f63db216",TRUE,FALSE,"578","FILTRADA","2020-02-18T14:17:06.149-0500"
"106","TANIA",27540,31234,"7200f26ce82c4a935f096c9cbbe60a0f36a9e1e66dbeec87d155b927ed7b1223",TRUE,FALSE,"584","FILTRADA","2020-02-18T14:16:57.139-0500"
"107","jack",27539,31233,"5b8a3a658aea2db5bccf4a5eb7b96af79c6e65a8736e35790448180edbe39b2c",TRUE,FALSE,"452","DESESTIMADA","2020-02-18T14:16:30.523-0500"
"108","ELMO",27538,31232,"e27baac37d3f96af203b9ffb87cc3be34f1d6a28725384f454e1bf4676d13a93",TRUE,FALSE,"391","FILTRADA","2020-02-18T14:11:04.988-0500"
"109","MIGUEL",27537,31231,"ba29f1261ca09b8c9c4f0ce7d42b2b1e271fdcb5ccb6376ba834171f5581ea35",TRUE,FALSE,"595","DESESTIMADA","2020-02-18T14:03:56.086-0500"
"110","JESUS",27536,31230,"0c51bcc1b4bc5aa09c6281e83faa5930f419044596eb8b253be6cc60ced4b2f9",TRUE,FALSE,"578","DESESTIMADA","2020-02-18T13:58:46.814-0500"
"111","AGEO",27535,31229,"d11064fd6e5d1b6028476e0b659e9e0c1d35b28533bf8bdcf454fa3a3b57c87a",TRUE,FALSE,"578","RECHAZADA","2020-02-18T13:57:56.710-0500"
"112","BLADIMIR",27534,31228,"9869781b4074c57e69113f0832e28cb90b1a39fc4126e865a60c2c72f98eb916",TRUE,FALSE,"399","FILTRADA","2020-02-18T13:57:38.802-0500"
"113","ISABEL",27533,31227,"6504721c715415cec9efe72263e75dbcd342486380fba7333e32aee81a22b2d8",TRUE,FALSE,"578","FILTRADA","2020-02-18T13:56:12.858-0500"
"114","DARWIN",27532,31226,"6439f7c1cc7f2baaa627b227334a40b4e10ef1001d8ddcef262548b50b6c17f1",TRUE,FALSE,"443","FILTRADA","2020-02-18T13:55:36.585-0500"
"115","ALEJANDRO",27531,31225,"ca4a837b1d6520c34def7854e0da85785cc0579ec68ca65794ccc31755723234",TRUE,FALSE,"388","DESESTIMADA","2020-02-18T13:55:21.741-0500"
"116","ILENA",27530,31224,"7bddf0f21dd9831c719cfc2f24bddc80be5007f967bf5e692cdf7f66bdd5fc28",TRUE,FALSE,"330","FILTRADA","2020-02-18T13:54:37.319-0500"
"117","JESUS",27529,31223,"db9ab49cc972d6ead0f8367ed155781ef0b17934e0746fdbe2a5326644a222a6",TRUE,FALSE,"578","FILTRADA","2020-02-18T13:54:34.200-0500"
"118",NA,27528,31222,"09ac82d2388ab699647b70ed5a37069acf78933dbfe42213edf4edaf8317e947",TRUE,FALSE,"595","DESESTIMADA","2020-02-18T13:54:00.962-0500"
"119","RICHARD",27527,31221,"f820362642d9e8e11849f092263a96eca88ac3ecd418332cc4e1f11ddf45c85c",TRUE,FALSE,"399","FILTRADA","2020-02-18T13:52:32.900-0500"
"120","ELIZABETH",27526,31220,"3299d0f1928634fe614d12c6573aae831d7dc25db057738177db02bdabe91e1f",TRUE,FALSE,"330","RECHAZADA","2020-02-18T13:50:52.715-0500"
"121","JUAN",27525,31219,"c7112b83adcd5b497dc94ec17af28d358d2215175170b7930658d047563ccb1f",TRUE,FALSE,"584","FILTRADA","2020-02-18T13:49:47.757-0500"
"122","SANDRA",27524,31218,"bafea0d7213233ce04cde6c774b23691e39db87230a0d605f4201de87a6d379f",TRUE,FALSE,"578","FILTRADA","2020-02-18T13:45:18.994-0500"
"123","ESTEBAN",27523,31217,"9bcd295c634a8eee764a685b96409968ade2c37a48b1c6396e543805852b43f9",TRUE,FALSE,"399","FILTRADA","2020-02-18T13:43:15.527-0500"
"124","ERICK",27522,31216,"704f514bda03b9327d6b9d1bb98ccaf3d81ab9b95125abd7e135afe4ee000983",TRUE,FALSE,"399","FILTRADA","2020-02-18T13:39:20.321-0500"
"125","KARINA",27521,31215,"8af07c801c2bd71958c16c3842b6c1325ac50ecab01117aa83d7739b41ec56aa",TRUE,FALSE,"517","FILTRADA","2020-02-18T13:37:18.859-0500"
"126","PABLO",27520,31214,"e45e492684716c0e92f22c2f5d7b4a2c9fdb70a35c4f849f56e454471299115d",TRUE,FALSE,"578","FILTRADA","2020-02-18T13:35:33.354-0500"
"127",NA,27519,31213,"490b242a37e6be929e804c3df84579cd80ef0fc7590b916446179883657bd12f",TRUE,FALSE,"389","INICIADA","2020-02-18T13:33:49.538-0500"
"128","JONATHAN",27518,31212,"18e3d3f0588a2851cc506382dca28d2e48bc36db22fedc32a49a3b369fcf33dc",TRUE,FALSE,"388","DESESTIMADA","2020-02-18T13:31:11.283-0500"
"129","EUGENIO",27517,31211,"b1d94f312a66928ab9a9c219c6e3994428ebf38a39516b0707cfcf6764b0b4ce",TRUE,FALSE,"578","FILTRADA","2020-02-18T13:29:32.589-0500"
"130","JOSE",27516,31210,"6ad6fba94c7aed24cba51f848531de1c23abb4f5f73d94865960d8da437718c9",TRUE,FALSE,"569","FILTRADA","2020-02-18T13:29:30.126-0500"
"131","JOSE",27515,31209,"dafdc9762be954d630b65f5dbcba78e66a3ce9faebc7bf33d6ea227241bbb281",TRUE,FALSE,"494","DESESTIMADA","2020-02-18T13:28:17.543-0500"
"132","JESUS",27514,31208,"50a7d74dfac7448593aa56de7ff0d753a9e28ff2e42f73d937d90db711224437",TRUE,FALSE,"569","FILTRADA","2020-02-18T13:27:59.686-0500"
"133","ELVERTINA",27513,31207,"a477004eafdac9eeebf1f9640fc681b920f68ec5aac65dd6b9601e0c7b7ccc48",TRUE,FALSE,"578","INICIADA","2020-02-18T13:27:16.523-0500"
"134","LUIS",27512,31206,"86ca132b79db0377e530666aae6d484c7b25f8e3c728969ca0962b30ee69461c",TRUE,FALSE,"388","DESESTIMADA","2020-02-18T13:22:24.317-0500"
"135","DENNKO",27511,31205,"d9f9a20c1150d75b737c56b7d396afea11d1024fd885923cab1f711add51c91b",TRUE,FALSE,"388","FILTRADA","2020-02-18T13:21:18.693-0500"
"136","CARLOS",27510,31204,"d3f732c3182f10aaa99efadf7e1ee214cb3521ea6bd5f86655bf1900fe2a46b8",TRUE,FALSE,"389","FILTRADA","2020-02-18T13:21:01.947-0500"
"137","MARIA",27509,31203,"9e7af2c0b39f9ecbe6f029c90c3de26d08dd649fbac25b643e9c9a5086ea771b",TRUE,FALSE,"578","FILTRADA","2020-02-18T13:18:20.172-0500"
"138","YENY",27508,31202,"2a98848282f385c954cba0bf8ec4f9a846042a60d67ca49bdc57084d04dc17d8",TRUE,FALSE,"399","FILTRADA","2020-02-18T13:17:34.893-0500"
"139","DIANA",27507,31201,"032a24b7395e66047d291885d5e5acbc59f78be8e0305f83b0eeaa26c4ba21ce",TRUE,FALSE,"330","FILTRADA","2020-02-18T13:15:18.456-0500"
"140","MARIA",27506,31200,"1cf6f2eb026eafb6d87cbf52acc5f553826c6659c32125f9700f87ac36d8a11f",TRUE,FALSE,"578","FILTRADA","2020-02-18T13:13:10.660-0500"
"141","PIERO",27505,31199,"efad60e87af9ed2c70deaf89def2c2d75662f8e221f7eb1e338e1abfe9303350",TRUE,FALSE,"389","FILTRADA","2020-02-18T13:12:36.445-0500"
